ID,objid,fname,mimetype,size
47f8ffb242a30fbcca67a76196c35be5,EAEA0-31DB-5195-0A04-0,ask_40_24.wav,audio/x-wav,138472
609b5b1a428716e66a35ea46bdaede51,EAEA0-31DB-5195-0A04-0,web.mp3,audio/mpeg,34480
594f21b3e0d77d3709fda4aaa607f10c,EAEA0-3307-BBF9-A842-0,ask_40_23.wav,audio/x-wav,177896
e2c381fbadbdd8516b05c62e5305a200,EAEA0-3307-BBF9-A842-0,web.mp3,audio/mpeg,42840
3f49e2d7a33522883c97090c753fe0f0,EAEA0-3476-31A1-CD7C-0,ask_40_01.wav,audio/x-wav,107808
c14eb82ad72464e99221925d1a3827fd,EAEA0-3476-31A1-CD7C-0,web.mp3,audio/mpeg,27166
a4ddb10ef420d64c6f83117b494fcefb,EAEA0-3602-C9DC-32F8-0,ask_40_29.wav,audio/x-wav,132336
99a1b54be274dbc9873dbca1610ba667,EAEA0-3602-C9DC-32F8-0,web.mp3,audio/mpeg,32391
7935dc84627cf391ac0aa8a73edafd63,EAEA0-38B2-2581-8E0D-0,ask_40_05.wav,audio/x-wav,101672
c7d2641671132aeb1de5efc202c73d87,EAEA0-38B2-2581-8E0D-0,web.mp3,audio/mpeg,26121
dd9d8a24ad15e19dc06e8bd7493900f1,EAEA0-4809-F4DA-0246-0,ask_40_20.wav,audio/x-wav,126204
93d1eed96fb1e4abe7b5e7f9133e94e1,EAEA0-4809-F4DA-0246-0,web.mp3,audio/mpeg,31346
9c4d5b2c7be93bafc554c46d87a76281,EAEA0-5396-FA18-5A39-0,ask_40_11.wav,audio/x-wav,113940
3d90ce98db124e7d9adda5f0ebc07215,EAEA0-5396-FA18-5A39-0,web.mp3,audio/mpeg,28211
712ab24b27961e014824935e25284447,EAEA0-5AD2-4B06-F3FE-0,ask_40_18.wav,audio/x-wav,91160
dc04c6381fc6b4387b4c789bfa154579,EAEA0-5AD2-4B06-F3FE-0,web.mp3,audio/mpeg,22986
8efc3af824254af0aa129f2eefdacd20,EAEA0-6697-5ABA-01E2-0,ask_40_10.wav,audio/x-wav,123580
68af185dde54308c993cfd5aa511e878,EAEA0-6697-5ABA-01E2-0,web.mp3,audio/mpeg,30301
48aaaf5d1cd5909efd6b2a4c66fd1f40,EAEA0-6772-8345-A698-0,ask_40_04.wav,audio/x-wav,109556
b782e10f5e8640d58d61cf1b1cd41f86,EAEA0-6772-8345-A698-0,web.mp3,audio/mpeg,27166
b65b718aa3985befa920e412c14299f7,EAEA0-6E85-912F-C95D-0,ask_40_37.wav,audio/x-wav,129712
e28a1375d14c3f338750e86823a7d268,EAEA0-6E85-912F-C95D-0,web.mp3,audio/mpeg,32391
aef343815a438cd68e6431f3f516f9a3,EAEA0-6FC0-C84C-5D16-0,ask_40_02.wav,audio/x-wav,99044
87167b294ca083459d4041400e00dd91,EAEA0-6FC0-C84C-5D16-0,web.mp3,audio/mpeg,25076
f74459396ee4ad5eee33cbf421e5c8c8,EAEA0-7DF4-BD8E-480A-0,ask_40_22.wav,audio/x-wav,103428
c4eeae9902b5feee3e270929c9f1b5da,EAEA0-7DF4-BD8E-480A-0,web.mp3,audio/mpeg,26121
3c761baf6a503bb7004715e863eae61a,EAEA0-84DF-7AE2-6291-0,ask_40_09.wav,audio/x-wav,130584
09c1ae1f030a6d6ad23d262003bc9465,EAEA0-84DF-7AE2-6291-0,web.mp3,audio/mpeg,32391
8ac794bc842de067b29404a8e940f3c5,EAEA0-93D7-387B-278C-0,ask_40_08.wav,audio/x-wav,140224
b582572df20d50f5ae6f08a168c87186,EAEA0-93D7-387B-278C-0,web.mp3,audio/mpeg,34480
1f95e357a59a5eb0cbe594e0dc1758fc,EAEA0-9B72-2A53-EDD2-0,ask_40_31.wav,audio/x-wav,135844
a4a139e72ebbe0f35472f34ff564052e,EAEA0-9B72-2A53-EDD2-0,web.mp3,audio/mpeg,33435
3d4c0bc2526531dbcb836061969780f6,EAEA0-9C57-32BB-1F56-0,ask_40_35.wav,audio/x-wav,123576
a6e4e16756611644c58a35d3d456c9d8,EAEA0-9C57-32BB-1F56-0,web.mp3,audio/mpeg,30301
db473016d15819b4da904b4a55ffac97,EAEA0-A9AE-95C4-57E8-0,ask_40_03.wav,audio/x-wav,114816
b190b9bc1cbef604a08b1e475d181d65,EAEA0-A9AE-95C4-57E8-0,web.mp3,audio/mpeg,28211
68f0f3a7790a0911b00b45b610d5597f,EAEA0-B5E4-305B-5278-0,ask_40_21.wav,audio/x-wav,120076
3f414cc512792fbc3f0f032f930280cb,EAEA0-B5E4-305B-5278-0,web.mp3,audio/mpeg,30301
967790d74f3c82058ca20feaa8a675eb,EAEA0-B678-C464-7C0A-0,ask_40_30.wav,audio/x-wav,113060
2ab3e2cf24f8e5b39b33e34c518ce211,EAEA0-B678-C464-7C0A-0,web.mp3,audio/mpeg,28211
a57b0ff2dbdc08f9d32c6eb5eff4c810,EAEA0-BDFD-5A29-1415-0,ask_40_32.wav,audio/x-wav,114816
016e86be3e80486641eb1241b34642af,EAEA0-BDFD-5A29-1415-0,web.mp3,audio/mpeg,28211
