Lg variety (name),ISO,Coord1,Coord2,GC01a,GC01b,GC01c,GC02a,GC02b,GC02c,GC02d,GC03,GC04a,GC04b,GC05a,GC05b,GC06a,GC06b,GC07a,GC07b,PH01a,PH01b,PH01c,PH02a,PH02b,PH03a,PH03b,PH03c,PH03d,PH04,PH05a,PH05b,PH06,PH07,PH08a,PH08b,WO01a,WO01b,WO02a,WO02b,WO02c,WO03,WO04a,WO04b,WO05a,WO05b,WO06,WO07a,WO07b,WO08,WO09,WO10,CS01a,CS01b,CS02a,CS02b,CS03a,CS03b,CS03c,CS04a,CS04b,CS05,CS06a,CS06b,CS06c,CS07,CS08,CS09,LX01a,LX01b,LX01c,LX01d,LX01e,LX02a,LX02b,LX03a,LX03b,LX04a,LX04b,LX05,LX06a,LX06b,LX07,LX08
Kyrgyz,kir,73.97764,36.89837,0,0,0,0,0,1,1,?,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,?,1,1,1,1,1,1,1,0,1,1,0,1,0,?,0,1,0,1,?,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0
Ladakhi,lbj,77.25266,34.12240,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,?,?,0,0,0,1,0,1,1,1,1,1,?,1,1,1,0,0,0,0,0,0,0,0,1,?,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Munji,mnj,70.90873,35.96907,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,?,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Pahari_Pothwari,phr,73.06263,33.57315,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,?,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,?,1,0,0,0,0,0,?,?,0,?,1,1,1,1,1,0,0
Palula,phl,71.73994,35.43939,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
Parachi,prc,69.64719,35.09915,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,?,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
Pashai_Alasai,psh (ai),69.75581,34.94752,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
Pashai_Alingar,psi (ar),70.41725,34.86533,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1
Pashai_Alishang,glh (ag),70.08457,34.92865,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,?,?,0,1,0,1,0
Pashai_Amla,psi (am),70.57805,34.67743,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,?,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1
