Language,ISO,Family,lng,lat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,60,70,80,90,100,110,120,200,1000
Prasun,prn,Nuristani,70.90193,35.33045,ipiːn,il liː,t͡ʃi̥ʃ ʃiː,t͡ʃu̥p pu,wut͡ʃ t͡ʃə,wuʂ ʂə,sətə,aːstə,nuju,ləːz zə,d͡ʒiːz zə,wiːz zə,t͡ʃi̥ʃiːz zə,t͡ʃu̥pluz,wəʃliz,wəʂluz,sətliz,aʃliz,naːləz,zu,ikeːʒ,ileːʒ,t͡ʃi̥ʃeːʒ,t͡ʃu̥pːeːʒ,wət͡ʃːeːʒ,wəʂːeːʒ,sətːeːʒ,astːeːʒ,nuwːeːʒ,ləz zeːʃ,d͡ʒiz zeːʃ,wiz zeːʃ,t͡ʃi̥ʃiz zeːʃ,t͡ʃu̥pluzeːʃ,wəʃlizeːʃ,wəʂluzeːʃ,sətːlizeːʃ,aʃlizeːʃ,naːlizeːʃ,d͡ʒibəz,ikiː d͡ʒibəz,iliː d͡ʒibəz,t͡ʃi̥ʃiː d͡ʒibəz,t͡ʃu̥pu d͡ʒibəz,wut͡ʃ d͡ʒibəz,wuʂ d͡ʒibəz,sət d͡ʒibəz,aːst d͡ʒibəz,nu d͡ʒibəz,ləːz d͡ʒibəz,t͡ʃi̥ʃegzu,t͡ʃi̥ʃegzaː ləːz,t͡ʃu̥pegzu,t͡ʃu̥pegzaː ləːz,wət͡ʃegzu,wət͡ʃegzaː ləːz,wət͡ʃegzaː zu,li wət͡ʃegzu,azaːr
Purik,prx,Tibeto-Burman,76.0115,34.33588,t͡ʃik,ŋis,sum,d͡ʒbjiː,ʁa,truk,hr̥dun,rgjad,rguː,hr̥t͡ʃuː,t͡ʃukʃik,t͡ʃuŋis,t͡ʃuksum,t͡ʃud͡ʒbjiː,t͡ʃuʁa,t͡ʃuzdrug,t͡ʃubdun,t͡ʃubgjad,t͡ʃurguː,ŋiʃuː,ŋiʃuː hr̥t͡saq t͡ʃik,ŋiʃuː hr̥t͡saq ŋis,ŋiʃuː hr̥t͡saq sum,ŋiʃuː hr̥t͡sa d͡ʒbjiː,ŋiʃuː hr̥t͡sa ʁa,ŋiʃuː hr̥t͡sa truk,ŋiʃuː hr̥t͡sa bdun,ŋiʃuː hr̥t͡sa bgjad,ŋiʃuː hr̥t͡sa rguː,sumt͡ʃuː,sumt͡ʃuː naː t͡ʃik,sumt͡ʃuː naː ŋis,sumt͡ʃuː naː sum,sumt͡ʃuː naː d͡ʒbjiː,sumt͡ʃuː naː ʁa,sumt͡ʃuː naː truk,sumt͡ʃuː naː rdun,sumt͡ʃuː naː rgjad,sumt͡ʃuː naː rguː,ŋiʃuːŋis,ŋiʃuːŋis naː t͡ʃik,ŋiʃuːŋis naː ŋis,ŋiʃuːŋis naː sum,ŋiʃuːŋis naː d͡ʒbjiː,ŋiʃuːŋis naː ʁa,ŋiʃuːŋis naː truk,ŋiʃuːŋis naː rdun,ŋiʃuːŋis naː rgijad,ŋiʃuːŋis naː rguː,ʁabt͡ʃuː,trukt͡ʃuː,rdunt͡ʃuː,ŋiʃuː d͡ʒbjiː,ŋiʃuː d͡ʒbjiː naːzt͡ʃuː,rgjaː,rgjaː naːzt͡ʃuː,rgjaː naː ŋiʃuː,ŋibgjaː,stõːt͡ʃik
Roshani,sgh (r),Iranian,71.42285,37.8916,iːw,ðaw,araj,t͡savuːr,piːnd͡z,χuː,uːvd,waxt,naːw,ðos,joːzda,duwoːzda,siːzda,t͡ʃoːrda,poːnzda,ʃoːnzda,avda,ad͡ʒda,nuːnzda,biːst,biːstə jaːk,biːstə duː,biːstə seː,biːstə t͡ʃoːr,biːstə paːnd͡ʒ,biːstə ʃaːʃ,biːstə aːft,biːstə aːʃt,biːstə nuː,siː,siːwə jaːk,siːwə do,siːwə seː,siːwə t͡ʃoːr,siːwə paːnd͡ʒ,siːwə ʃaːʃ,siːwə aːft,siːwə aːʃt,siːwə nuː,t͡ʃel,t͡ʃelə jaːk,t͡ʃelə duː,t͡ʃelə seː,t͡ʃelə t͡ʃoːr,t͡ʃelə paːnd͡ʒ,t͡ʃelə ʃaːʃ,t͡ʃelə aːft,t͡ʃelə aːʃt,t͡ʃelə nuː,pind͡ʒoː,ʃaːst,aftoːd,aʃtoːd,nawad,"jaːk sad, sad",jaːk sadə daː,jaːk sadə biːst,du sad,"jaːk azoːr, azoːr"
Sanglechi,sgy,Iranian,71.20996,36.29833,wɑːk,dəːw,roːj,t͡safuːr,poːnd͡z,χɑːɽ,hoːvd,hɑːt,nɑːw,dɑːs,kədɑːs,diːduːs,seːzda,t͡ʃaːrda,poːnzdɑːs,χɑːɽdɑːs,hoːvddɑːs,hɑːtdɑːs,nawdɑːs,wiːʃt,wiʃtə wɑːk,wiʃtə dəːw,wiʃtə roːj,wiʃtə t͡safuːr,wiʃtə poːnd͡z,wiʃtə χɑːɽ,wiʃtə hoːvd,wiʃtə hɑːt,wiʃtə nɑːw,rəːs,rəsə wɑːk,rəsə dəːw,rəsə roːj,rəsə t͡safuːr,rəsə poːnd͡z,rəsə χɑːɽ,rəsə hoːvd,rəsə hɑːt,rəsə nɑːw,t͡ʃəːl,t͡ʃələ wɑːk,t͡ʃələ dəːw,t͡ʃələ roːj,t͡ʃələ t͡safuːr,t͡ʃələ poːnd͡z,t͡ʃələ χɑːɽ,t͡ʃələ hoːvd,t͡ʃələ hɑːt,t͡ʃələ nɑːw,pand͡ʒaːj,ʂaːst,aftaːd,aʂtaːd,nawad,sad,wɑːk sadə wɑːk,wɑːk sadə wiːʃt,du sad,wɑːk azaːr
Sawi,sdg,Indo-Aryan,71.45683,35.17324,jak,duː,ɬɑː,t͡ʃuːr,paːnd͡ʒ,ʂo,saːt,aːʃ,nu,deʃ,jakɑːʃ,bɑːʃ,trojiʃ,t͡ʃadiʃ,pand͡ʒiʃ,ʂuɽaʃ,satijɑːʃ,aʃtijɑːʃ,uːɽiʃ,biʃ,jakɑːn biʃ,duwɑːn biʃ,ɬɑːwɑːn biʃ,t͡ʃuːrɑːn biʃ,paːnd͡ʒɑːn biʃ,ʂuwɑːn biʃ,saːtɑːn biʃ,aːʃɑːn biʃ,nuwɑːn biʃ,daʃɑːn biʃ,jakɑːʃɑːn biʃ,bɑːʃɑːn biʃ,trojiʃɑːn biʃ,t͡ʃadiʃɑːn biʃ,pand͡ʒiʃɑːn biʃ,ʂuɽaʃɑːn biʃ,satijɑːʃɑːn biʃ,aʃtijɑːʃɑːn biʃ,uːɽiʃɑːn biʃ,dubiʃa,jakɑːn dubiʃa,duwɑːn dubiʃa,ɬɑːwɑːn dubiʃa,t͡ʃuːrɑːn dubiʃa,paːnd͡ʒɑːn dubiʃa,ʂuwɑːn dubiʃa,saːtɑːn dubiʃa,aːʃɑːn dubiʃa,nuwɑːn dubiʃa,daʃɑːn dubiʃa,ɬɑːbiʃa,daʃɑːn ɬɑːbiʃa,t͡ʃuːrbiʃa,daʃɑːn t͡ʃuːrbiʃa,paːnd͡ʒbiʃa,daʃɑːn paːnd͡ʒbiʃa,ʂubiʃa,du sawa,zər
Shina Gilgit,scl (p),Indo-Aryan,74.30831,35.9214,ek,duː,t͡ʃe,t͡ʃaːr,põʃ,ʂa,sat,ãʂ,naw,daj,akaːj,baːj,ʈ͡ʂoj,t͡ʃondaj,panzaj,ʂoːj,sataːj,ãʂʈaːj,koniː,biː,biːga ek,biːga duː,biːga t͡ʃe,biːga t͡ʃaːr,biːga põʃ,biːga ʂa,biːga sat,biːga ãʂ,biːga naw,biːga daj,biːga akaːj,biːga baːj,biːga ʈ͡ʂoj,biːga t͡ʃondaj,biːga panzaj,biːga ʂoːj,biːga sataːj,biːga ãʂʈaːj,biːga koniː,dobio,dobioga ek,dobioga duː,dobioga t͡ʃe,dobioga t͡ʃaːr,dobioga põʃ,dobioga ʂa,dobioga sat,dobioga ãʂ,dobioga naw,dobioga daj,ʈ͡ʂabio,ʈ͡ʂabioga daj,t͡ʃarbio,t͡ʃarbioga daj,ʃal,ʃalga daj,ʃalga biː,duːʃal,hazaːr
Shina Gurez,scl (i),Indo-Aryan,74.77488,34.6383,ek,dũː,ʈ͡ʂeː,t͡ʃaːr,poʃ,ʂa,satʰ,aːʃʈ,naw,daj,akaːj,baːj,ʈ͡ʂoiː,ʈ͡ʂodiː,panzuliː,ʂoːj,sataːj,aʃʈaːj,kuniː,biː,biːgi ek,biːgi dũː,biːgi ʈ͡ʂeː,biːgi t͡ʃaːr,biːgi poʃ,biːgi ʂa,biːgi satʰ,biːgi aːʃʈ,biːgi naw,biːgi daj,biːgi akaːj,biːgi baːj,biːgi ʈ͡ʂoiː,biːgi ʈ͡ʂodiː,biːgi panzuliː,biːgi ʂoːj,biːgi sataːj,biːgi aʃʈaːj,biːgi kuniː,dibiju,dibijugi ek,dibijugi dũː,dibijugi ʈ͡ʂeː,dibijugi t͡ʃaːr,dibijugi poʃ,dibijugi ʂa,dibijugi satʰ,dibijugi aːʃʈ,dibijugi naw,dibijugi daji,ʈ͡ʂeːbiju,ʈ͡ʂeːbijugi daji,t͡ʃarbi,t͡ʃarbigi daji,ʃal,ek ʃal daji,ek ʃal biːiː,dũːʃal,saːs
Shughni,sgh (a),Iranian,71.44097,37.4434,jiːw,ðəjyːn,haraːj,t͡savoːr,piːnt͡s,χoːɣ,wuːvd,waxt,noːw,ðiːs,ji ðiːsat jiːw,ji ðiːsat ðəjyːn,ji ðiːsat haraːj,ji ðiːsat t͡savoːr,ji ðiːsat piːnt͡s,ji ðiːsat χoːɣ,ji ðiːsat wuːvd,ji ðiːsat waxt,ji ðiːsat noːw,ðə ðiːs,ðə ðiːsat jiːw,ðə ðiːsat ðəjyːn,ðə ðiːsat haraːj,ðə ðiːsat t͡savoːr,ðə ðiːsat piːnt͡s,ðə ðiːsat χoːɣ,ðə ðiːsat wuːvd,ðə ðiːsat waxt,ðə ðiːsat noːw,haraj ðiːs,haraj ðiːsat jiːw,haraj ðiːsat ðəjyːn,haraj ðiːsat haraːj,haraj ðiːsat t͡savoːr,haraj ðiːsat piːnt͡s,haraj ðiːsat χoːɣ,haraj ðiːsat wuːvd,haraj ðiːsat waxt,haraj ðiːsat noːw,t͡savoːr ðiːs,t͡savoːr ðiːsat jiːw,t͡savoːr ðiːsat ðəjyːn,t͡savoːr ðiːsat haraːj,t͡savoːr ðiːsat t͡savoːr,t͡savoːr ðiːsat piːnt͡s,t͡savoːr ðiːsat χoːɣ,t͡savoːr ðiːsat wuːvd,t͡savoːr ðiːsat waxt,t͡savoːr ðiːsat noːw,piːnt͡s ðiːs,χoːɣ ðiːs,wuːvd ðiːs,waxt ðiːs,noːw ðiːs,ðiːs ðiːs,ðiːs ðiːsat ðiːs,ðiːs ðiːsat ðə ðiːs,dəsaːd,azoːr
Torwali,trw,Indo-Aryan,72.55077,35.20655,ek,du,ʈ͡ʂa,t͡ʃaw,pãːi,ʂoː,saːt,aːʈ,noːm,daʃ,agaːʃ,duwaːʃ,ʈ͡ʂeːʃ,t͡ʃataʃ,pĩːʃ,ʂeːʃ,sataːʃ,aʈʰaːʃ,ambiʃ,biʃ,ek o biʃ,du o biʃ,ʈ͡ʂa o biʃ,t͡ʃaw o biʃ,pãːji o biʃ,ʂoː o biʃ,saːt o biʃ,aːʈ o biʃ,noːm o biʃ,daʃ o biʃ,agaːʃ o biʃ,duwaːʃ o biʃ,ʈ͡ʂeːʃ o biʃ,t͡ʃataʃ o biʃ,pĩːʃ o biʃ,ʂeːʃ o biʃ,sataːʃ o biʃ,aʈʰaːʃ o biʃ,ambiʃ o biʃ,dubiʃ,ek o dubiʃ,du o dubiʃ,ʈ͡ʂaː o dubiʃ,t͡ʃaw o dubiʃ,pãːi o dubiʃ,ʂoː o dubiʃ,saːt o dubiʃ,aːɽ o dubiʃ,noːm o dubiʃ,daʃ o biʃ,ʈ͡ʂabiʃ,daʃ o ʈ͡ʂabiʃ,t͡ʃawbiʃ,daʃ o t͡ʃawbiʃ,pãːjbiʃ,daʃ o pãːjbiʃ,biʃ o pãːjbiʃ,du so,zar
Ushojo,ush,Indo-Aryan,72.60512,35.12879,ek,duː,ʈ͡ʂiː,t͡ʃaːr,poːʃ,ʂa,saːt,aːʈ,naw,daiː,agaːʃ,doaːʃ,ʈ͡ʂiːʃ,t͡ʃadaʃ,pĩːʃ,ʂiːʃ,sataːʃ,aʈʰaːʃ,ẽɽ biː,biː,ega biː,duːga biː,ʈ͡ʂiː ga biː,t͡ʃaːr ga biː,poːʃ ga biː,ʂa ga biː,saːt ga biː,aːʈ ga biː,naw ga biː,daiː ga biː,agaːʃ ga biː,doaːʃ ga biː,ʈ͡ʂiːʃ ga biː,t͡ʃadaʃ ga biː,pĩːʃ ga biː,ʂiːʃ ga biː,sataːʃ ga biː,aʈʰaːʃ ga biː,"ẽɽbiː ga biː, ek kam dubi",dubi,ega dubi,duːga dubi,ʈ͡ʂiː ga dubi,t͡ʃaːr ga dubi,poːʃ ga dubi,ʂa ga dubi,saːt ga dubi,aːʈ ga dubi,naw ga dubi,"dai ga dubi, pat͡ʃaːs",ʈ͡ʂibi,dai ga ʈ͡ʂibi,t͡ʃarbi,"dai ga t͡ʃarbi, dai kam poːʃ bi",poːʃ bi,dai ga poːʃ bi,ʂa bi,"duːsaw, dai bi",zar
Uzbek (Afgh),uzs,Turkic,70.3878,37.07386,bər,jekːi,wut͡ʃ,turt,beːʃ,ɑlte,jetːi,sakːiz,toqːuz,won,won bər,won jekːi,won wut͡ʃ,won turt,won beːʃ,won ɑlte,won jetːi,won sakːiz,won toqːuz,jegirma,jegirma bər,jegirma jekːi,jegirma wut͡ʃ,jegirma turt,jegirma beːʃ,jegirma ɑlte,jegirma jetːi,jegirma sakːiz,jegirma toqːuz,wotːuz,wotːuz bər,wotːuz jekːi,wotːuz wut͡ʃ,wotːuz turt,wotːuz beːʃ,wotːuz ɑlte,wotːuz jetːi,wotːuz sakːiz,wotːuz toqːuz,qirʁ,qirʁu bər,qirʁu jekːi,qirʁu wut͡ʃ,qirʁu turt,qirʁu beːʃ,qirʁu ɑlte,qirʁu jetːi,qirʁu sakːiz,qirʁu toqːuz,elːig,ɑlmiʃ,jetmiʃ,seksen,tuχsen,juz,bər juzu won,bər juzu won jegirma,jekː juz,bər ming
Waigali,wbk,Nuristani,70.96082,35.1362,ew,dyː,treː,t͡ʃataː,puːnt͡ʃ,ʂuː,soːt,oːʃt,nuː,doːʃ,jaːʃ,baːʃ,trynʃ,t͡ʃadiʃ,pat͡ʃiʃ,ʂenʃ,sataːs,iʃʈaːʃ,iʃi,wiʃi,wiʃije ewi,wiʃije dyːi,wiʃije treːi,wiʃije t͡ʃataːi,wiʃije puːnt͡ʃi,wiʃije ʂuːi,wiʃije soːti,wiʃije oːʂʈi,wiʃije nuːi,wiʃije doːʃ,wiʃije jaːʃ,wiʃije baːʃ,wiʃije trynʃ,wiʃije t͡ʃadiʃ,wiʃije pat͡ʃiʃ,wiʃije ʂenʃ,wiʃije sataːs,wiʃije iʃʈaːʃ,dyːwiʃije nuːi,dyːwiʃi,dyːwiʃije ewi,dyːwiʃije dyːi,dyːwiʃije treːi,dyːwiʃije t͡ʃataː,dyːwiʃije puːnt͡ʃ,dyːwiʃije ʂuː,dyːwiʃije soːt,dyːwiʃije oːʂʈ,dyːwiʃije nuː,dyːwiʃije doːʃ,treːwiʃi,treːwiʃije doːʃ,t͡ʃataːwiʃi,t͡ʃataːwiʃije doːʃ,punt͡ʃwiʃi,punt͡ʃwiʃije doːʃi,punt͡ʃwiʃije wiʃi,dyːwiʃiːje wiʃi,eː azaːr
Wakhi (Afgh),wbl (a),Iranian,72.59606,36.98526,jiːw,buːj,təruːj,t͡səbɨːr,paːnt͡s,ʃaːd,ɨːb,aːt,naw,ðas,ðas jiːw,ðas buːj,ðas təruːj,ðas t͡səbɨːr,ðas paːnt͡s,ðas ʃaːd,ðas ɨːb,ðas aːt,ðas naw,bist,iː bistet jiːw,iː bistet buːj,iː bistet təruːj,iː bistet t͡səbɨːr,iː bistet paːnt͡s,iː bistet ʃaːd,iː bistet ɨːb,iː bistet aːt,iː bistet naw,iː bistet ðas,iː bistet ðas jiːw,iː bistet ðas buːj,iː bistet ðas təruːj,iː bistet ðas t͡səbɨːr,iː bistet ðas paːnt͡s,iː bistet ðas ʃaːd,iː bistet ðas ɨːb,iː bistet ðas aːt,iː bistet ðas naw,buː bist,buː bistet jiːw,buː bistet buːj,buː bistet təruːj,buː bistet t͡səbɨːr,buː bistet paːnt͡s,buː bistet ʃaːd,buː bistet ɨːb,buː bistet aːt,buː bistet naw,buː bistet ðas,təruː bist,təruː bistet ðas,t͡səbɨːr bist,t͡səbɨːr bistet ðas,iː sad,iː sadet ðas,iː sadet bist,buː sad,iː azɑːr
Wakhi (Pak),wbl (p),Iranian,74.4895,36.83676,jiːw,buːj,tʰruːj,t͡səbɨːr,paːnz,ɕaːð,hub,hat,naw,ðas,ðas jiːw,ðas buːj,ðas tʰruːj,ðas t͡səbɨːr,ðas paːnz,ðaɕaːð,ðas hub,ðas hat,ðas naw,wist,wiste jiːw,wiste buːj,wiste tʰruːj,wiste t͡səbɨːr,wiste paːnz,wiste ɕaːð,wiste hub,wiste hat,wiste naw,wiste ðas,wiste ðas jiːw,wiste ðas buːj,wiste ðas tʰruːj,wiste ðas t͡səbɨːr,wiste ðas paːnz,wiste ðaɕaːð,wiste ðas hub,wiste ðas hat,wiste ðas naw,buː wist,buː wiste jiːw,buː wiste buːj,buː wiste tʰruːj,buː wiste t͡səbɨːr,buː wiste paːnz,buː wiste ɕaːð,buː wiste hub,buː wiste hat,buː wiste naw,buː wiste ðas,tʰruː wist,tʰruː wiste ðas,t͡səbɨːr wist,t͡səbɨːr wiste ðas,sad,jiː sadet ðas,jiː sadet wist,buː sad,hazoːr
Yidgha,ydg,Iranian,71.51571,35.9874,ju,loħ,ʃiroiː,t͡ʃːiːr,pãːd͡ʒ,uχʂo,aːvdo,aːht͡ʃo,now,les,les ju,les loħ,les ʃiroiː,les t͡ʃːiːr,les pãːd͡ʒ,les uχʂo,les aːvdo,les aːht͡ʃo,les now,usto,ustoju,usto loħ,usto ʃiroiː,usto t͡ʃːiːr,usto pãːd͡ʒ,usto uχʂo,usto aːvdo,usto aːht͡ʃo,usto now,usto les,usto les ju,usto les loħ,usto les ʃiroiː,usto les t͡ʃːiːr,usto les pãːd͡ʒ,usto les uχʂo,usto les aːvdo,usto les aːht͡ʃo,usto les now,lewist,lewisto ju,lewisto loħ,lewisto ʃiroiː,lewisto t͡ʃːiːr,lewisto pãːd͡ʒ,lewisto uχʂo,lewisto aːvdo,lewisto aːht͡ʃo,lewisto now,lewisto les,ʃiroiː ist,ʃiroiːjistuː les,t͡ʃːiːrwist,t͡ʃːiːrwistuː les,ʃoːr,ju ʃoːruː les,ju ʃoːruː usto,loħ ʃoːr,hazaːr
