Grapheme	IPA	CLTS	Examples
oː	oː	long rounded close-mid back vowel	adəkoː, aftoːd, akoːʃ
oːa	oː a	rounded close-mid back vowel	biːɕiː_ʑe_daɕ_ʑe_noːa, biːɕiː_ʑe_daɕ_ʑe_ʂoːa, daɕ_ʑe_noːa
oːe	oː e	from long rounded close-mid back to unrounded close-mid front diphthong	biho_ʈ͡ʂoːe, mɑːmoːestam_pɑːnd͡ʒə, ʂoːeʃ
oːi	oː i	from long rounded close-mid back to unrounded close front diphthong	boːi, dəkaːkaːzoːi, jakoːi
oːiː	oː iː	rounded close-mid back vowel	awar_oːiː_sajə, mɑːmoː_oːiː
oːuː	oː uː	rounded close-mid back vowel	boːuː
o˞	o˞	rhotacized rounded close-mid back vowel	dando˞jak
o˞a	o˞ a	rounded close-mid back vowel	no˞a
ó	ó/o	rounded close-mid back with_high_tone vowel	abʰeːɳibabó, aɕí_pubí_strĩːmó, aɕí_pubí_strĩːmó_jodpó
ôː	ôː/oː	rounded close-mid back vowel	abʰeːɳikuɳôːk, apôː, áta_apôː
õ	õ	nasalized rounded close-mid back vowel	biːga_põʃ, dobioga_põʃ, mõ
õː	õː	long nasalized rounded close-mid back vowel	asõː, biʃir_d͡ʒoʃ_põːt͡ʃ, biʃir_põːt͡ʃ
õːe	õː e	rounded close-mid back vowel	biho_ʂõːe, ʂõːe
õ˞	õ˞	rounded close-mid back vowel	ɕõ˞_a
ǒː	ǒː/oː	rounded close-mid back vowel	aɕí_pubí_pʰǒːneː_namâː, aɕí_pubí_pʰǒːno, áta_reːrêː_pʰǒːno
o̰ː	o̰ː	long creaky rounded close-mid back vowel	nazo̰ːr
p	p	voiceless bilabial stop consonant	abeːni_pas, abeːni_put, adaːk_aχpəl_wom
pw	p w	labialized voiceless bilabial stop consonant	apwêː_áta, ʂupwoː
pʂ	p ʂ	voiceless bilabial stop consonant	ʂupʂi
pʰ	pʰ	aspirated voiceless bilabial stop consonant	apʰaʈ_ami, apʰaʈ_apiː, aɕí_pubí_pʰǒːneː_namâː
pː	pː	long voiceless bilabial stop consonant	t͡ʃu̥pːeːʒ
q	q	voiceless uvular stop consonant	amani_qizi, anbɑːq, aqaːreb
qs	q s	voiceless uvular stop consonant	ŋiʃu_st͡saqsuŋ, ɑqsɑqɑl, ʒibt͡ʃu_ʒaqsuŋ
qʃ	q ʃ	voiceless uvular stop consonant	ŋiʃu_st͡saqʃik, ʒibt͡ʃu_ʒaqʃik
qʒ	q ʒ	voiceless uvular stop consonant	ŋiʃu_st͡saqʒi, ʒibt͡ʃu_ʒaqʒi
